picture_file_nv,n_en,n_de,n_fr,adj_en,adj_de,adj_fr,continue_text_de,continue_text_en,continue_text_fr,n_foil_en,n_foil_de,n_foil_fr,correct_noun,ver_n_de,ver_n_en,ver_n_fr,adj_foil_en,adj_foil_de,adj_lemma_de,adj_foil_fr,adj_lemma_fr,ver_adj_en,ver_adj_de,ver_adj_fr
"PICTURE_17_NEW.jpg","devil","Teufel","diable","new","neuer","nouveau","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","giraffe","Giraffe","girafe",FALSE,"Giraffe","giraffe","girafe","old","alt","neu","vieux","nouveau","old","alt","vieux"
"PICTURE_17_OLD.jpg","devil","Teufel","diable","old","alter","vieux","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","drawer","Schublade","tiroir",FALSE,"Schublade","drawer","tiroir","little","klein","alt","petit","vieux","little","klein","petit"
"PICTURE_17_BIG.jpg","devil","Teufel","diable","big","großer","grand","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","dog","Hund","chien",TRUE,"Teufel","devil","diable","little","klein","groß","petit","grand","big","groß","grand"
"PICTURE_17_LITTLE.jpg","devil","Teufel","diable","little","kleiner","petit","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","hippo","Nilpferd","hippopotame",TRUE,"Teufel","devil","diable","old","alt","klein","vieux","petit","little","klein","petit"
"PICTURE_17_NEW.jpg","devil","Teufel","diable","new","neuer","nouveau","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","giraffe","Giraffe","girafe",TRUE,"Teufel","devil","diable","big","groß","neu","grand","nouveau","new","neu","nouveau"
"PICTURE_17_OLD.jpg","devil","Teufel","diable","old","alter","vieux","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","drawer","Schublade","tiroir",TRUE,"Teufel","devil","diable","new","neu","alt","nouveau","vieux","old","alt","vieux"
"PICTURE_707_BIG.jpg","dog","Hund","chien","big","großer","grand","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","star","Stern","étoile",FALSE,"Stern","star","étoile","old","alt","groß","vieux","grand","old","alt","vieux"
"PICTURE_707_LITTLE.jpg","dog","Hund","chien","little","kleiner","petit","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","butterfly","Schmetterling","papillon",FALSE,"Schmetterling","butterfly","papillon","big","groß","klein","grand","petit","big","groß","grand"
"PICTURE_707_NEW.jpg","dog","Hund","chien","new","neuer","nouveau","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","shower","Dusche","douche",FALSE,"Dusche","shower","douche","little","klein","neu","petit","nouveau","little","klein","petit"
"PICTURE_707_OLD.jpg","dog","Hund","chien","old","alter","vieux","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","computer","Computer","ordinateur",FALSE,"Computer","computer","ordinateur","new","neu","alt","nouveau","vieux","new","neu","nouveau"
